Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude
20001,599999.0,3,1,1384,1546 3RD ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,899000.0,3,3,1998,34 U ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,2100000.0,4,4,3245,1334 8TH ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,625000.0,3,3,1740,1819 8TH ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,569999.0,2,2,975,150 RHODE ISLAND AVE NW APT 403,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1250000.0,5,4,2512,140 S ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,525000.0,1,1,728,2022 FLAGLER PL NW APT F101,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,535000.0,1,1,800,437 NEW YORK AVE NW APT 909,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,750000.0,2,2,1118,1220 11TH ST NW APT 2,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1050000.0,3,3,2075,753 COLUMBIA RD NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,549900.0,2,2,1005,809 6TH ST NW APT 14,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,550000.0,2,2,1417,753 COLUMBIA RD NW UNIT 1,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,899950.0,2,3,1318,2009 VERMONT AVE NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,600000.0,2,2,991,911 T ST NW # 1,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,870000.0,2,2,1276,1815 6TH ST NW # 2,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,650000.0,1,2,1364,400 MASSACHUSETTS AVE NW APT 508,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1380000.0,4,4,2465,1134 10TH ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,900000.0,4,3,1802,1841 9TH ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1099900.0,4,4,2220,1934 3RD ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,875000.0,2,2,1298,440 L ST NW UNIT 905,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1130000.0,3,4,1850,426 WARNER ST NW # 2A,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,515000.0,1,1,755,910 M ST NW APT 906,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,850000.0,2,2,1265,1812 10TH ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,695000.0,2,2,1193,440 R ST NW # 003,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,730000.0,2,2,1050,910 M ST NW APT 618,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,529900.0,1,1,890,400 MASSACHUSETTS AVE NW APT 921,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1069000.0,4,4,2403,47 NEW YORK AVE NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1450000.0,2,2,2430,1252 10TH ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,710000.0,2,2,927,2101 11TH ST NW APT 402,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1019900.0,4,4,2252,620 COLUMBIA RD NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,899000.0,3,3,1997,226 N ST NW APT 1,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1525000.0,4,4,2724,55 R ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,565000.0,1,1,770,460 NEW YORK AVE NW UNIT 703,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,599000.0,2,1,1016,713 EUCLID ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,939000.0,3,3,2068,143 S ST NW # 2,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,620000.0,2,2,858,1923 9TH ST NW UNIT 4,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,889000.0,4,2,2223,41 HANOVER PL NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,779000.0,3,2,1016,1550 11TH ST NW APT 408,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,930000.0,3,4,1801,1008 FAIRMONT ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,589000.0,2,2,980,150 RHODE ISLAND AVE NW APT 401,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,859999.0,2,2,1310,1117 10TH ST NW APT 504,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,499500.0,1,1,761,2035 2ND ST NW APT G304,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,429000.0,2,1,767,345 OAKDALE PL NW APT 103,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,600000.0,2,2,867,811 4TH ST NW # 204,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1079000.0,2,3,1537,1224 11TH ST NW APT 4,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,469999.0,1,1,754,440 L ST NW UNIT 706,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,670000.0,2,2,922,910 M ST NW APT 527,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,549000.0,1,1,750,2120 VERMONT AVE NW APT 301,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,1895000.0,4,4,2300,1015 O ST NW,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,849900.0,1,2,1103,1518 NEW JERSEY AVE NW REAR,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
20001,650000.0,2,2,914,1106 5TH ST NW APT 2,Washington,District of Columbia,45551,8590.7,District of Columbia,165650.0,38.91002,-77.018
